服务器,角色名,获得奥丁装备件数,,说明,,,,,,,,
紫水栈桥,金有彬,3+,,统计时间,7月12日0点到9月3日24点,,,,,,,
紫水栈桥,豸里,3+,,3件或以上才算完成,,,,,,,,
紫水栈桥,Akntno,3+,,,,,,,,,,
紫水栈桥,羽娘,3+,,,,,,,,,,
紫水栈桥,雷震子丶,3+,,,,,,,,,,
紫水栈桥,雏·玛奇希玛,3+,,,,,,,,,,
紫水栈桥,Lavend,3+,,,,,,,,,,
紫水栈桥,声音,3+,,,,,,,,,,
紫水栈桥,両弌干也,3+,,,,,,,,,,
紫水栈桥,星星的咏叹调,3+,,,,,,,,,,
紫水栈桥,霰仙,3+,,,,,,,,,,
紫水栈桥,Jaska,3+,,,,,,,,,,
紫水栈桥,Sa丿丸子,3+,,,,,,,,,,
紫水栈桥,蓝猫神,3+,,,,,,,,,,
紫水栈桥,Erosy,3+,,,,,,,,,,
紫水栈桥,古尔杜鲁,3+,,,,,,,,,,
紫水栈桥,血色曼陀罗,3+,,,,,,,,,,
紫水栈桥,肖晓,3+,,,,,,,,,,
紫水栈桥,守真志满,3+,,,,,,,,,,
紫水栈桥,时零,3+,,,,,,,,,,
紫水栈桥,九尾贝果狐,3+,,,,,,,,,,
紫水栈桥,乱舞的猫猫,3+,,,,,,,,,,
紫水栈桥,香菇鸡肉面,3+,,,,,,,,,,
紫水栈桥,林黛玉,3+,,,,,,,,,,
紫水栈桥,As丷湮幻刺,3+,,,,,,,,,,
紫水栈桥,铭记在心,3+,,,,,,,,,,
紫水栈桥,安颜许,3+,,,,,,,,,,
紫水栈桥,呆龙雷纳尔,3+,,,,,,,,,,
紫水栈桥,恩布瑞拉,3+,,,,,,,,,,
紫水栈桥,南條qaq,3+,,,,,,,,,,
紫水栈桥,暗之水滴,3+,,,,,,,,,,
紫水栈桥,毫无定力勇者,3+,,,,,,,,,,
紫水栈桥,Shivah,3+,,,,,,,,,,
紫水栈桥,沐雨橙风·,3+,,,,,,,,,,
紫水栈桥,大狗丶,3+,,,,,,,,,,
紫水栈桥,緋桜靜,3+,,,,,,,,,,
紫水栈桥,等等,3+,,,,,,,,,,
紫水栈桥,暗黑公爵,3+,,,,,,,,,,
紫水栈桥,Pp君,3+,,,,,,,,,,
紫水栈桥,Freyia,3+,,,,,,,,,,
紫水栈桥,糖小莫,3+,,,,,,,,,,
紫水栈桥,芬里尔狼,3+,,,,,,,,,,
紫水栈桥,迷你弓箭手,3+,,,,,,,,,,
紫水栈桥,李沅慧,3+,,,,,,,,,,
紫水栈桥,柳筱曦,3+,,,,,,,,,,
紫水栈桥,伊恩库洛,3+,,,,,,,,,,
紫水栈桥,萌受,3+,,,,,,,,,,
紫水栈桥,Ipp,3+,,,,,,,,,,
紫水栈桥,露缇雅,3+,,,,,,,,,,
紫水栈桥,波波鸟,3+,,,,,,,,,,
紫水栈桥,暗黑星辰,3+,,,,,,,,,,
紫水栈桥,猫柠饼丶,3+,,,,,,,,,,
紫水栈桥,老咪咪,3+,,,,,,,,,,
紫水栈桥,B·潇小皎月,3+,,,,,,,,,,
紫水栈桥,酥酥酥,3+,,,,,,,,,,
紫水栈桥,周助ryom,3+,,,,,,,,,,
紫水栈桥,遥远的梦,3+,,,,,,,,,,
紫水栈桥,火光,3+,,,,,,,,,,
紫水栈桥,靑城龍一,3+,,,,,,,,,,
紫水栈桥,哈络温,3+,,,,,,,,,,
紫水栈桥,一言灵天子一,3+,,,,,,,,,,
紫水栈桥,狐小卯,3+,,,,,,,,,,
紫水栈桥,北宸,3+,,,,,,,,,,
紫水栈桥,雀斑的烦恼,3+,,,,,,,,,,
紫水栈桥,Sstern,3+,,,,,,,,,,
紫水栈桥,Heroes,3+,,,,,,,,,,
紫水栈桥,随风爱寂寞,3+,,,,,,,,,,
紫水栈桥,丧子酱,3+,,,,,,,,,,
紫水栈桥,千颜,3+,,,,,,,,,,
紫水栈桥,浅风月,3+,,,,,,,,,,
紫水栈桥,洛丿风行,3+,,,,,,,,,,
紫水栈桥,塔尼克,3+,,,,,,,,,,
紫水栈桥,浩浩,3+,,,,,,,,,,
紫水栈桥,洛灬桜,3+,,,,,,,,,,
紫水栈桥,旋律丶ls,3+,,,,,,,,,,
紫水栈桥,云飞羽,3+,,,,,,,,,,
紫水栈桥,Amo,3+,,,,,,,,,,
紫水栈桥,十壹十,3+,,,,,,,,,,
紫水栈桥,天堂没有地铁,3+,,,,,,,,,,
紫水栈桥,阿野绫雫,3+,,,,,,,,,,
紫水栈桥,Sspace,3+,,,,,,,,,,
紫水栈桥,Rama,3+,,,,,,,,,,
紫水栈桥,Ariels,3+,,,,,,,,,,
紫水栈桥,Quenti,3+,,,,,,,,,,
紫水栈桥,鸩羽千夜丶,3+,,,,,,,,,,
紫水栈桥,珈蓝之瞳,3+,,,,,,,,,,
紫水栈桥,蝶羅,3+,,,,,,,,,,
紫水栈桥,Triste,3+,,,,,,,,,,
紫水栈桥,狛枝凪斗,3+,,,,,,,,,,
紫水栈桥,越狱菟,3+,,,,,,,,,,
紫水栈桥,原映雪,3+,,,,,,,,,,
紫水栈桥,鏡飛彩,3+,,,,,,,,,,
紫水栈桥,Uoash,3+,,,,,,,,,,
紫水栈桥,Lude,3+,,,,,,,,,,
紫水栈桥,盫,3+,,,,,,,,,,
紫水栈桥,随风飘落的叶,3+,,,,,,,,,,
紫水栈桥,虎视眈眈,3+,,,,,,,,,,
紫水栈桥,哈妮团子,3+,,,,,,,,,,
紫水栈桥,天边云,3+,,,,,,,,,,
紫水栈桥,Lafite,3+,,,,,,,,,,
紫水栈桥,肥皂君,3+,,,,,,,,,,
紫水栈桥,克罗索,3+,,,,,,,,,,
紫水栈桥,小延延,3+,,,,,,,,,,
紫水栈桥,深见透子,3+,,,,,,,,,,
紫水栈桥,虚幽末,3+,,,,,,,,,,
紫水栈桥,玉灵,3+,,,,,,,,,,
紫水栈桥,桃心熊熊,3+,,,,,,,,,,
紫水栈桥,咪咪了个喵,3+,,,,,,,,,,
紫水栈桥,葵酱,3+,,,,,,,,,,
紫水栈桥,介錯,3+,,,,,,,,,,
紫水栈桥,比村乳业,3+,,,,,,,,,,
紫水栈桥,火姬,3+,,,,,,,,,,
紫水栈桥,林相渡,3+,,,,,,,,,,
